scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
193,1246.404541,473.3988647,0.913107157,1173.820557,612.4801636,0.832104683,1282.887817,706.1307373,0.025224745
194,1243.632813,468.3781738,0.92539382,1176.640625,610.4748535,0.876644373,1284.887329,698.1524048,0.699419856
195,1248.210938,460.374939,0.876333356,1179.973022,608.6658325,0.883113027,1288.253662,690.9414673,0.813187718
196,1248.249512,459.2418213,0.889079154,1188.425659,603.4655151,0.850891113,1295.623535,678.5637817,0.824483871
197,1254.884521,456.2984924,0.884696841,1191.201782,601.1262207,0.868218362,1305.746582,675.6230469,0.884423256
198,1258.450562,449.4125977,0.929483771,1195.089844,600.475647,0.883521318,1308.510376,669.4301758,0.885267258
199,1261.120972,444.1827698,0.925551772,1202.581787,594.1306763,0.910240889,1310.367188,669.7797241,0.830809951
200,1265.199707,440.743866,0.908413053,1207.603149,587.4837036,0.885783195,1317.288086,659.4543457,0.872353911
201,1268.23584,435.2998352,0.905716419,1209.854004,584.328064,0.901921928,1319.226807,646.0728149,0.833031774
202,1273.680786,427.9752197,0.898140848,1211.914063,575.9622192,0.879840732,1321.944702,643.9235229,0.796839058
203,1275.754639,423.9733887,0.900598645,1219.793823,572.0151367,0.870419204,1322.108521,636.6569214,0.543201923
204,1277.951538,420.2064819,0.91901505,1220.913574,568.4968262,0.829491138,1322.719971,629.9526367,0.665415525
205,1279.774292,416.9211121,0.911436558,1224.94165,562.2860107,0.83400929,1328.241211,621.9447021,0.535692573
206,1281.432495,410.9967041,0.906142712,1228.391235,560.8580322,0.852747798,1336.44397,609.2162476,0.455108523
207,1282.776733,409.1864014,0.913332045,1231.50647,554.427063,0.87549907,1336.384155,605.2213745,0.728480339
